-0.3183284998  -0.0779206157  -0.1279296875 
-0.3109549284  -0.0798459053  -0.1328125000 
-0.3035780191  -0.0817563236  -0.1376953125 
-0.2961968184  -0.0836386383  -0.1425781250 
-0.2888122797  -0.0854864120  -0.1474609375 
-0.2814227343  -0.0872967541  -0.1524658203 
-0.2740200758  -0.0890657902  -0.1573486328 
-0.2666004896  -0.0907983184  -0.1622314453 
-0.2591549158  -0.0924994648  -0.1671142578 
-0.2516778708  -0.0941734910  -0.1718750000 
-0.2441622019  -0.0958170593  -0.1766357422 
-0.2365969419  -0.0974169672  -0.1813964844 
-0.2289704084  -0.0989604890  -0.1860351562 
-0.2212727070  -0.1004319489  -0.1905517578 
-0.2134921551  -0.1018086076  -0.1949462891 
-0.2056175470  -0.1030707955  -0.1993408203 
-0.1976369619  -0.1042030752  -0.2033691406 
-0.1895395517  -0.1051889658  -0.2073974609 
-0.1813157797  -0.1060107648  -0.2110595703 
-0.1729590893  -0.1066455543  -0.2144775391 
-0.1644654274  -0.1070639193  -0.2175292969 
-0.1558364630  -0.1072424948  -0.2203369141 
-0.1470818520  -0.1071641743  -0.2226562500 
-0.1382216215  -0.1068190336  -0.2244873047 
-0.1292840242  -0.1062035859  -0.2258300781 
-0.1203043461  -0.1053230762  -0.2265625000 
-0.1113245487  -0.1041747332  -0.2268066406 
-0.1023899317  -0.1027514040  -0.2263183594 
-0.0935500860  -0.1010438800  -0.2254638672 
-0.0848590136  -0.0990453959  -0.2238769531 
-0.0763731003  -0.0967551172  -0.2216796875 
-0.0681514740  -0.0941677988  -0.2188720703 
-0.0602538586  -0.0912817419  -0.2155761719 
-0.0527348518  -0.0881041884  -0.2115478516 
-0.0456379652  -0.0846511424  -0.2071533203 
-0.0389935970  -0.0809431970  -0.2022705078 
-0.0328174829  -0.0770019293  -0.1968994141 
-0.0271110535  -0.0728470087  -0.1912841797 
-0.0218607187  -0.0685023665  -0.1853027344 
-0.0170416832  -0.0639917254  -0.1790771484 
-0.0126261711  -0.0593424439  -0.1727294922 
-0.0085858107  -0.0545831323  -0.1661376953 
-0.0048897266  -0.0497416258  -0.1594238281 
-0.0015087128  -0.0448463559  -0.1525878906 
0.0015864372  -0.0399294496  -0.1456298828 
0.0044164658  -0.0350224972  -0.1386718750 
0.0070023537  -0.0301555991  -0.1314697266 
0.0093630552  -0.0253569484  -0.1241455078 
0.0115102530  -0.0206488371  -0.1166992188 
0.0134568214  -0.0160449147  -0.1091308594 
0.0152124166  -0.0115575790  -0.1014404297 
0.0167790651  -0.0071987510  -0.0937500000 
0.0181618929  -0.0029762387  -0.0858154297 
0.0193697214  0.0011072159  -0.0777587891 
0.0204095840  0.0050559044  -0.0697021484 
0.0212862492  0.0088730454  -0.0615234375 
0.0220004320  0.0125668049  -0.0533447266 
0.0225615501  0.0161567330  -0.0450439453 
0.0229871273  0.0196681023  -0.0367431641 
0.0233014822  0.0231386423  -0.0283203125 
0.0235366821  0.0266092420  -0.0200195312 
0.0237269402  0.0301232338  -0.0115966797 
0.0238977671  0.0337262750  -0.0032958984 
0.0240811110  0.0374727249  0.0048828125 
0.0243160725  0.0414190292  0.0130615234 
0.0246486664  0.0456166863  0.0211181641 
0.0251339674  0.0501124859  0.0289306641 
0.0258342028  0.0549384952  0.0364990234 
0.0268163681  0.0601142049  0.0439453125 
0.0281500816  0.0656477809  0.0509033203 
0.0299026966  0.0715343952  0.0576171875 
0.0321332216  0.0777465105  0.0638427734 
0.0348992348  0.0842323303  0.0694580078 
0.0382477045  0.0909228325  0.0745849609 
0.0422049761  0.0977336168  0.0791015625 
0.0467780828  0.1045668721  0.0828857422 
0.0519481897  0.1113253236  0.0859375000 
0.0576751232  0.1179168820  0.0883789062 
0.0639016628  0.1242628694  0.0900878906 
0.0705628395  0.1303024888  0.0911865234 
0.0775911808  0.1359925866  0.0915527344 
0.0849217176  0.1413077712  0.0915527344 
